sku,modelo_dimensionador,descripcion_hpe,list_price_usd,vigencia_list_price,estado_plc
S1A38AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Fnd UL 3yr Sub SaaS,23544.00,2026-06-01,GA
S1A40AAS,Suscripcion EdgeConnect Foundation,HPE ANW EC Fnd UL 5yr Sub SaaS,39240.00,2026-06-01,GA
S1B34AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC ADV AAS 100M 1y Sub SaaS,1848.00,2026-06-01,GA
S1B36AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv 100Mb 3yr Sub SaaS,5544.00,2026-06-01,GA
S1B38AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv 100Mb 5yr Sub SaaS,9240.00,2026-06-01,GA
S1B77AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv 1Gb 1yr Sub SaaS,6540.00,2026-06-01,GA
S1B79AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv 1Gb 3yr Sub SaaS,19620.00,2026-06-01,GA
S1B81AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv 1Gb 5yr Sub SaaS,32700.00,2026-06-01,GA
S1C35AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC ADV AAS UL 1y Sub SaaS,23580.00,2026-06-01,GA
S1C37AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv UL 3y Sub SaaS,70740.00,2026-06-01,GA
S1C39AAS,Suscripcion EdgeConnect Advanced,HPE ANW EC Adv UL 5y Sub SaaS,117900.00,2026-06-01,GA
S1B99AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 100M 1y E-STU,1932.00,2026-06-01,GA
S1C01AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 100M 3y E-STU,5796.00,2026-06-01,GA
S1C03AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 100M 5y E-STU,9660.00,2026-06-01,GA
S0Y07AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 1Gb 1yr Sub E-STU,6864.00,2026-06-01,GA
S0Y09AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 1Gb 3yr Sub E-STU,20592.00,2026-06-01,GA
S0Y11AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP 1Gb 5yr Sub E-STU,34320.00,2026-06-01,GA
S0Z57AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP UL 1y E-STU,24744.00,2026-06-01,GA
S0Z59AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP UL 3y E-STU,74232.00,2026-06-01,GA
S0Z61AAS,Suscripcion EdgeConnect On-Premises,HPE ANW EC ONP UL 5y E-STU,123720.00,2026-06-01,GA
S0Z71AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost AAS 100M 1y Sub SaaS,6552.00,2026-06-01,GA
S0Z73AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost 100Mb 3yr Sub SaaS,19656.00,2026-06-01,GA
S0Z75AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost 100Mb 5yr Sub SaaS,32760.00,2026-06-01,GA
S0Z85AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost AAS 10G 1y Sub SaaS,327600.00,2026-06-01,GA
S0Z87AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost 10Gb 3yr Sub SaaS,982800.00,2026-06-01,GA
S0Z89AAS,Boost EdgeConnect (SaaS),HPE ANW EC Boost 10Gb 5yr Sub SaaS,1638000.00,2026-06-01,GA
S0Z99AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 100M 1y Sub E-STU,6552.00,2026-06-01,GA
S1A01AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 100Mb 3yr Sub E-STU,19656.00,2026-06-01,GA
S1A03AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 100Mb 5yr Sub E-STU,32760.00,2026-06-01,GA
S0Z23AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 10Gb 1yr Sub E-STU,327600.00,2026-06-01,GA
S0Z25AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 10Gb 3yr Sub E-STU,982800.00,2026-06-01,GA
S0Z27AAS,Boost EdgeConnect (On-Premises),HPE ANW EC Boost ONP 10Gb 5yr Sub E-STU,1638000.00,2026-06-01,GA
JZ118AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Fnd 1yr Sub E-STU,1260.00,2026-03-01,GA
JZ119AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Fnd 3yr Sub E-STU,2520.00,2026-03-01,GA
JZ120AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Fnd 5yr Sub E-STU,3780.00,2026-03-01,GA
JZ121AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Adv 1yr Sub E-STU,1890.00,2026-03-01,GA
JZ122AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Adv 3yr Sub E-STU,3780.00,2026-03-01,GA
JZ123AAE,Central (gateways 70xx/90xx),Aruba 7/90xx Gtwy Adv 5yr Sub E-STU,5670.00,2026-03-01,GA
R8R41AAE,Gateway 9240,Aruba 9240 AOS10 Silver Capacity License,9995.00,2024-07-01,GA
R8R42AAE,Gateway 9240,Aruba 9240 AOS10 Gold Capacity License,19995.00,2024-07-01,GA
JW633AR,7005,Aruba 7005 (RW) 16 Reman AP Branch Cntlr,1567.00,2026-05-11,GA
JX927AR,7008,Aruba 7008 16 AP Reman Branch Cntlr,2718.00,2026-05-11,GA
JW678AR,7010,Aruba 7010 32 AP Reman Branch Cntlr,4185.00,2026-05-11,GA
JW686AR,7030,Aruba 7030 64 AP Reman Branch Cntlr,7326.00,2026-05-11,GA
JW735AR,7205,Aruba 7205 Reman Controller,13609.00,2026-05-11,GA
JW743AR,7210,Aruba 7210 (RW) Reman Controller,17798.00,2026-05-11,GA
JW751AR,7220,Aruba 7220 (RW) Reman Controller,26699.00,2026-05-11,GA
